sku,product_name,warehouse,current_stock,safety_stock,reorder_point
SKU-001,型号A(高端),北京仓,880,187,374
SKU-001,型号A(高端),上海仓,923,187,374
SKU-001,型号A(高端),广州仓,876,187,374
SKU-001,型号A(高端),成都仓,949,187,374
SKU-002,型号B(中端),北京仓,560,148,296
SKU-002,型号B(中端),上海仓,486,148,296
SKU-002,型号B(中端),广州仓,490,148,296
SKU-002,型号B(中端),成都仓,584,148,296
SKU-003,型号C(基础),北京仓,749,155,310
SKU-003,型号C(基础),上海仓,833,155,310
SKU-003,型号C(基础),广州仓,805,155,310
SKU-003,型号C(基础),成都仓,759,155,310
SKU-004,型号D(定制),北京仓,260,75,150
SKU-004,型号D(定制),上海仓,216,75,150
SKU-004,型号D(定制),广州仓,265,75,150
SKU-004,型号D(定制),成都仓,217,75,150
SKU-005,配件X,北京仓,1757,571,1142
SKU-005,配件X,上海仓,1814,571,1142
SKU-005,配件X,广州仓,1733,571,1142
SKU-005,配件X,成都仓,1815,571,1142
SKU-006,配件Y,北京仓,1929,523,1046
SKU-006,配件Y,上海仓,1912,523,1046
SKU-006,配件Y,广州仓,1910,523,1046
SKU-006,配件Y,成都仓,1963,523,1046
SKU-007,原料α,北京仓,577,189,378
SKU-007,原料α,上海仓,647,189,378
SKU-007,原料α,广州仓,566,189,378
SKU-007,原料α,成都仓,579,189,378
SKU-008,原料β,北京仓,180,28,56
SKU-008,原料β,上海仓,110,28,56
SKU-008,原料β,广州仓,155,28,56
SKU-008,原料β,成都仓,121,28,56
SKU-009,模块M,北京仓,88,24,48
SKU-009,模块M,上海仓,98,24,48
SKU-009,模块M,广州仓,176,24,48
SKU-009,模块M,成都仓,135,24,48
SKU-010,模块N,北京仓,1135,203,406
SKU-010,模块N,上海仓,1187,203,406
SKU-010,模块N,广州仓,1184,203,406
SKU-010,模块N,成都仓,1226,203,406
SKU-011,包装L,北京仓,804,212,424
SKU-011,包装L,上海仓,848,212,424
SKU-011,包装L,广州仓,855,212,424
SKU-011,包装L,成都仓,819,212,424
SKU-012,包装S,北京仓,1409,215,430
SKU-012,包装S,上海仓,1393,215,430
SKU-012,包装S,广州仓,1375,215,430
SKU-012,包装S,成都仓,1347,215,430
SKU-013,辅料01,北京仓,991,289,578
SKU-013,辅料01,上海仓,995,289,578
SKU-013,辅料01,广州仓,1049,289,578
SKU-013,辅料01,成都仓,1039,289,578
SKU-014,辅料02,北京仓,985,279,558
SKU-014,辅料02,上海仓,1014,279,558
SKU-014,辅料02,广州仓,979,279,558
