date,sku,region,sales_volume,unit_price
2026-06-26,SKU-002,华南,71,46.08
2026-06-05,SKU-004,华北,151,14.21
2026-06-16,SKU-004,华北,106,16.34
2026-06-13,SKU-002,华东,73,48.15
2026-06-08,SKU-003,华北,,83.33
2026-06-06,SKU-003,华南,61,93.21
2026-06-17,SKU-001,华南,120,24.31
2026-06-30,SKU-002,华北,77,47.18
2026-06-01,SKU-003,华南,51,95.9
2026-06-20,SKU-004,华南,139,14.0
2026-06-09,SKU-002,华东,100,46.94
2026-06-29,SKU-002,华南,77,48.84
2026-06-28,SKU-003,华北,,88.53
2026-06-09,SKU-003,华北,44,90.28
2026-06-20,SKU-003,华北,862,88.42
2026-06-30,SKU-002,华东,79,49.78
2026-06-08,SKU-004,华北,128,14.57
2026-06-27,SKU-001,华北,75,24.53
2026-06-02,SKU-001,华东,105,25.31
2026-06-05,SKU-002,华东,73,51.42
2026-06-03,SKU-003,华东,39,87.61
2026-06-03,SKU-004,华北,120,15.19
2026-06-30,SKU-003,华东,45,83.53
2026-06-13,SKU-004,华东,130,13.57
2026-06-29,SKU-003,华北,58,90.08
2026-06-27,SKU-003,华南,59,89.08
2026-06-30,SKU-003,华北,49,92.25
2026-06-18,SKU-001,华北,90,24.16
2026-06-28,SKU-001,华南,115,24.48
2026-06-17,SKU-002,华南,1176,48.01
2026-06-02,SKU-002,华北,81,44.37
2026-06-24,SKU-004,华南,115,16.35
2026-06-09,SKU-004,华南,1460,14.35
2026-06-09,SKU-003,华东,47,90.91
2026-06-23,SKU-001,华北,108,25.09
2026-06-12,SKU-003,华南,,87.03
2026-06-13,SKU-004,华南,129,14.69
2026-06-05,SKU-003,华北,32,93.2
2026-06-15,SKU-004,华南,134,15.5
2026-06-06,SKU-003,华北,63,82.44
2026-06-06,SKU-004,华南,116,16.52
2026-06-27,SKU-002,华北,88,47.57
2026-06-22,SKU-001,华南,113,25.38
2026-06-27,SKU-003,华东,44,89.23
2026-06-21,SKU-002,华东,60,47.07
2026-06-10,SKU-003,华北,60,99.57
2026-06-18,SKU-004,华南,134,15.49
2026-06-05,SKU-001,华东,,24.55
2026-06-06,SKU-004,华东,97,15.15
2026-06-14,SKU-001,华北,100,25.58
2026-06-20,SKU-002,华北,1167,50.09
2026-06-11,SKU-002,华南,67,51.67
2026-06-16,SKU-003,华北,,83.3
2026-06-13,SKU-004,华北,,16.5
2026-06-25,SKU-004,华东,115,14.43
2026-06-28,SKU-004,华东,100,14.88
2026-06-16,SKU-001,华南,85,26.08
2026-06-26,SKU-003,华南,49,85.97
2026-06-05,SKU-003,华东,54,87.53
2026-06-25,SKU-001,华北,83,24.66
2026-06-16,SKU-003,华东,48,91.29
2026-06-05,SKU-002,华北,69,45.29
2026-06-25,SKU-001,华东,,25.8
2026-06-23,SKU-003,华北,1357,79.45
2026-06-08,SKU-004,华东,127,15.76
2026-06-02,SKU-004,华北,122,15.61
2026-06-03,SKU-004,华东,114,15.54
2026-06-12,SKU-001,华东,66,22.62
2026-06-19,SKU-004,华南,120,16.07
2026-06-17,SKU-004,华南,138,15.46
2026-06-23,SKU-002,华南,74,46.82
2026-06-24,SKU-003,华东,65,97.05
2026-06-26,SKU-004,华北,115,14.43
2026-06-02,SKU-004,华东,131,15.26
2026-06-28,SKU-003,华南,50,83.88
2026-06-04,SKU-002,华南,54,45.4
2026-06-30,SKU-002,华南,74,44.89
2026-06-22,SKU-002,华南,75,43.47
2026-06-02,SKU-002,华东,,46.54
2026-06-14,SKU-001,华东,105,22.45
2026-06-23,SKU-004,华北,137,14.8
2026-06-01,SKU-002,华东,72,48.28
2026-06-05,SKU-003,华南,45,89.99
2026-06-27,SKU-002,华南,,49.62
2026-06-01,SKU-002,华南,77,50.79
2026-06-22,SKU-002,华东,75,45.66
2026-06-17,SKU-001,华东,110,25.94
2026-06-02,SKU-001,华北,113,24.7
2026-06-07,SKU-003,华南,,92.74
2026-06-26,SKU-003,华北,42,87.5
2026-06-17,SKU-003,华东,45,85.84
2026-06-12,SKU-001,华北,111,23.31
2026-06-29,SKU-003,华东,44,87.92
2026-06-17,SKU-004,华北,81,15.27
2026-06-19,SKU-002,华南,52,44.68
2026-06-07,SKU-003,华东,50,93.15
2026-06-03,SKU-001,华北,90,24.1
2026-06-16,SKU-004,华南,113,15.72
2026-06-03,SKU-002,华东,83,51.41
2026-06-19,SKU-002,华东,58,41.8
2026-06-13,SKU-001,华东,125,25.05
2026-06-03,SKU-002,华南,80,50.01
2026-06-10,SKU-001,华东,107,25.87
2026-06-13,SKU-003,华北,57,86.79
2026-06-06,SKU-002,华北,100,48.67
2026-06-18,SKU-004,华北,118,14.93
2026-06-11,SKU-004,华南,,15.32
2026-06-01,SKU-003,华北,54,90.5
2026-06-29,SKU-004,华东,104,13.43
2026-06-09,SKU-002,华北,96,47.98
2026-06-08,SKU-002,华北,77,46.54
2026-06-14,SKU-003,华东,41,99.04
2026-06-07,SKU-001,华北,90,25.4
2026-06-22,SKU-004,华东,,13.98
2026-06-23,SKU-002,华东,82,50.85
2026-06-11,SKU-004,华东,147,13.95
2026-06-22,SKU-001,华北,121,25.3
2026-06-09,SKU-004,华东,101,15.22
2026-06-12,SKU-004,华南,124,14.73
2026-06-23,SKU-004,华东,118,14.71
